url,nombre,archivo,alimentos,viajes,moda,hogar,educacion,marketing,joyeria,familia,gamificacion,solidaridad,empatia,seguridad,sostenibilidad,confianza,fidelidad,lealtad,respeto,compasion,compromiso,amor,honestidad,responsabilidad,felicidad,sencillez,tranquilidad,apoyo,flexibilidad,joven,adulta,creativa,innovadora,clasica,tradicional,artesanal,tecnologica,racional,emocional,masculina,femenina,global,local,premium,popular,juguetona,seria,autoridad,amigable
/images/db/limon.png,limon,imagen,5,1,1,3,1,1,1,5,5,1,1,1,5,3,3,3,3,3,3,3,3,3,3,4,2,2,1,3,3,3,3,3,5,5,1,3,3,4,2,1,5,1,5,2,5,5,1
/images/db/olas.png,olas,imagen,1,5,3,1,1,3,3,5,2,1,3,3,5,2,3,3,3,3,3,3,3,3,3,3,5,3,5,3,5,3,3,5,5,5,2,2,4,3,3,5,2,3,3,5,2,5,3
/images/db/pato.png,pato,imagen,3,2,3,5,5,4,3,5,5,5,4,3,3,4,4,4,2,3,3,5,5,3,4,4,4,3,5,5,4,5,5,2,5,3,4,2,5,3,3,4,4,2,4,5,1,1,5
/images/db/tambor.png,tambor,imagen,1,5,1,4,2,3,4,2,1,2,2,2,5,2,3,3,5,2,2,5,3,2,5,2,3,3,2,1,5,3,2,5,5,5,2,2,5,5,3,1,5,1,5,5,1,5,1
/images/db/cafe.png,cafe,imagen,5,4,2,5,1,5,2,5,3,5,5,5,3,5,3,4,4,3,1,4,3,3,3,4,4,2,1,2,5,2,2,5,5,5,3,3,5,3,3,5,5,3,3,2,5,3,3
/images/db/fresas.png,fresas,imagen,5,3,3,3,3,4,3,3,3,1,1,1,5,2,4,3,3,3,3,5,2,2,3,3,2,2,1,3,3,4,2,3,3,5,3,3,5,2,5,3,3,5,3,5,3,1,4
/images/db/donas.png,donas,imagen,5,3,4,3,3,5,3,4,5,3,2,2,2,3,4,2,2,3,3,5,2,3,4,2,3,2,1,4,2,2,3,2,3,5,2,3,5,3,5,5,2,3,3,5,1,1,4
/images/db/trompeta.png,trompeta,imagen,1,4,3,2,1,3,4,2,2,3,2,2,2,3,2,2,5,3,3,3,2,3,4,2,5,2,1,2,4,2,2,4,5,3,2,2,5,3,5,5,5,3,5,2,2,1,3
/images/db/bosque.png,bosque,imagen,1,5,3,3,2,3,2,4,2,3,3,5,5,5,5,5,5,3,3,4,4,3,4,3,5,3,2,1,5,2,2,4,5,5,3,5,4,5,3,4,3,5,2,2,5,5,2
/images/db/manzana.png,manzana,imagen,5,1,5,2,5,5,2,2,4,3,1,1,4,1,2,2,1,1,2,3,3,3,4,4,3,4,2,3,4,4,4,2,3,5,2,2,4,3,3,2,2,1,3,4,4,3,5
/images/db/saxo.png,saxo,imagen,1,2,2,3,3,3,2,5,2,2,3,3,2,4,4,2,2,3,3,4,2,2,5,4,5,2,2,3,3,2,3,2,4,2,3,4,4,4,2,2,5,5,2,2,4,5,3
/images/db/piano.png,piano,imagen,2,2,3,4,5,5,2,5,3,3,4,4,2,4,3,3,4,5,3,5,3,1,5,2,5,2,2,2,5,3,3,5,5,5,2,3,5,5,3,5,4,5,2,2,5,5,3
/images/db/flores.png,flores,imagen,4,3,5,5,3,3,5,3,3,2,4,2,5,3,5,5,4,5,3,5,5,3,4,5,5,2,4,5,2,5,5,3,4,5,1,1,5,4,5,2,5,5,3,5,2,1,5
/images/db/script.png,script,imagen,1,4,5,5,2,2,5,3,2,2,3,2,4,4,4,4,2,5,5,5,3,1,4,3,4,3,5,5,2,5,5,2,2,5,2,1,5,3,3,5,1,3,3,5,2,1,5
/images/db/serifa.png,serifa,imagen,3,4,5,5,5,3,5,5,2,3,4,5,5,5,5,5,3,3,4,4,3,4,3,2,3,5,1,1,5,1,5,5,5,5,2,5,2,5,4,3,3,4,3,2,5,5,2
/images/db/paloSeco.png,paloSeco,imagen,3,3,3,3,3,3,3,3,5,4,3,3,4,4,3,3,4,3,3,3,3,4,4,5,5,5,3,5,2,3,3,3,3,2,5,3,3,3,3,5,1,3,5,3,3,3,4
/images/db/gamuza.png,gamuza,imagen,1,3,5,4,2,4,5,3,2,3,3,5,2,4,4,5,3,4,5,5,3,4,5,2,3,4,3,3,3,5,2,5,5,5,3,2,5,3,3,5,5,5,2,2,5,5,3
/images/db/rocas.png,rocas,imagen,1,5,2,5,4,3,5,5,5,4,5,5,5,5,3,4,3,4,4,3,4,5,5,3,5,5,1,4,2,2,4,5,4,5,3,5,3,3,5,2,5,3,3,1,5,4,5
/images/db/naranja.png,naranja,imagen,5,2,5,5,3,3,3,3,4,3,3,2,3,2,3,3,2,3,4,4,3,2,5,2,3,2,4,5,3,5,5,2,3,5,2,2,5,3,5,1,5,5,5,4,2,1,5
/images/db/cadenas.png,cadenas,imagen,1,1,3,5,4,1,5,5,3,2,1,5,4,5,5,5,4,2,5,3,2,5,2,4,2,5,1,2,4,1,3,5,5,2,4,5,1,5,2,5,1,5,3,2,5,5,1
/images/db/gomas.png,gomas,imagen,5,3,2,3,3,4,3,4,5,4,5,2,2,3,4,4,2,3,2,5,5,2,5,3,3,3,5,5,1,5,5,1,3,1,4,2,4,3,5,5,3,3,2,5,1,2,5
/images/db/chile.png,chile,imagen,5,2,2,5,2,2,2,4,2,2,3,2,2,2,2,2,4,2,3,2,5,4,3,3,2,3,3,3,5,3,2,5,5,5,2,4,4,4,4,3,5,4,5,4,5,4,3
/images/db/fogata.png,fogata,imagen,5,5,2,5,3,2,4,5,2,5,5,4,2,5,4,5,5,2,3,5,5,3,5,3,5,3,1,1,5,2,2,5,5,5,2,4,4,4,4,3,5,2,5,2,3,5,4
/images/db/olla.png,olla,imagen,5,3,2,5,3,2,3,5,2,5,5,4,2,5,3,3,5,2,2,5,3,4,5,3,3,3,1,1,5,2,2,5,5,5,3,4,4,4,4,3,5,2,5,2,3,5,4
/images/db/ukelele.png,ukelele,imagen,1,3,5,3,4,3,2,5,4,3,5,3,4,5,3,3,3,3,3,4,3,3,5,3,5,4,5,5,1,5,5,1,3,5,1,3,5,3,3,2,5,2,5,5,2,2,5
/images/db/chelo.png,chelo,imagen,1,2,3,3,3,3,3,3,4,3,5,4,4,5,5,4,3,3,4,3,3,2,2,3,5,4,2,1,5,2,1,5,5,2,1,5,5,3,3,5,3,5,3,2,5,5,3
/images/db/violin.png,violin,imagen,1,3,5,3,4,3,4,3,4,3,5,5,4,5,5,4,3,3,4,4,3,3,2,3,5,4,2,1,5,2,1,5,5,2,1,5,5,3,3,5,3,5,3,2,5,5,3
/images/db/bateria.png,bateria,imagen,1,4,3,3,2,3,3,3,3,3,3,3,4,5,3,3,3,3,3,2,3,4,5,3,1,4,3,5,3,5,5,1,2,2,5,3,5,3,3,5,3,2,4,5,4,5,5
